Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$61K-$104K (Glassdoor est.),"At CliniComp, Intl. we create cool products, in a pleasant place with people we like. We design, develop, and implement software and hardware solutions for Healthcare IT. Our state-of-the-art technology has contributed to fundamental advancements in computer science. We are proud of our artificial intelligence initiatives that are adding significant depth to products that will further improve healthcare outcomes for patients. The foundation of all we do is to create things that really matter.

Position Summary

The Data Scientist will actively research and implement approaches to model complex physiological, tabular, and/or imaging data and discover insights using statistical, algorithmic, mining, and visualization techniques. You will collaborate with other Data Scientists, Analysts and Engineers to improve existing models, workflows, and databases using quantitative methods.

Responsibilities
Select, design, develop and apply machine learning algorithms in a tested and reproducible manner.
Clearly communicate the design and operation of implemented algorithms (short reports, diagrams).
Work expertly with intermediate data structures (e.g., SQL databases, flat files).
Use relevant packages (e.g., PyTorch, TensorFlow, Theano, Lasagne) for running neural networks
Rapid prototyping of code in Python and/or R (numpy, pandas, matplotlib, wfdb / glmnet, data. table, ggplot2, survival, etc).
Maintain breadth of knowledge in latest developments in AI/machine learning and industry best practices.
Optimize algorithm parameters, and work with data engineers to ensure the usage of high-quality data and correct application of statistical methods and assumptions.
Use internal ticketing system tools (Softzilla and Service Direct) to report and document work according to CCI standards and protocols.
Perform, visualize, and validate statistical analyses.
Requirements

Required
Bachelor’s degree in Computer Science, Data Science, Statistics, Applied Mathematics, or related technical field.
At least 1+ years database experience with solid understanding of SQL query development (in MySQL, SQLite, and/or Postgres).
At least 1+ years Python experience
Possesses a strong quantitative approach to analyzing data and fundamental knowledge in statistics and statistical software with large datasets.
Preferred
Master’s Degree in Computer Science, Data Science, Statistics, Applied Mathematics, or related technical field.
2-5 years of relevant quantitative and qualitative research and analytics experience.
Deep understanding of statistical and predictive/dynamical modeling concepts, machine-learning approaches, and clustering and classification techniques.
Proficiency with large datasets.
Comfortable installing and configuring software, as well as conducting analysis in Unix/Linux environments (RHEL7).
Working knowledge of high performance distributed computing or code-optimization through parallelization (GPU, clusters); git, or other method of version control
Security Clearance: The start of the security clearance process is up to the discretion of the company and may begin no later than the successful completion of the first 90 days of employment, and commensurate with job requirements and the needs of the business. Successful completion of the security clearance process may not be required for every position but all candidates must be willing to submit to the process if requested by their manager according to the requirements of the position and business needs.

Benefits
100% covered Medical and Dental coverage for you & your family
Generous 401(k) plan and contribution
Events and weekly lunches
Engaging wellness activities
Corporate Social Responsibility Program
So many more to list…
CCI complies with the Americans with Disabilities Act and considers reasonable accommodation measures that may be necessary for eligible applicants/employees to perform primary responsibilities. EEO/AA/M/F/Veteran/Disabled",3.8,"CliniComp, Intl.
3.8","San Diego, CA","San Diego, CA",51 to 200 employees,1983,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
Analog Modeling Engineer,$61K-$104K (Glassdoor est.),"Job Id
E1983469
Job Title Analog Modeling Engineer - San Diego

Post Date 06/23/2020

Company
Qualcomm Technologies, Inc.

Job Area Engineering - Hardware

Location California - San Diego

Job Overview Modeling Specification Review
Determine requirements of behavioral model from IP design specifications.
Model Development and Quality Assurance
Generate ABMs and verify DACs, ADCs, PLLs, LDOs, CODECs and RX/TX.
Model Integration Review
Work with IC design and DV simulation engineers to debug top-level simulation

"" id=""hdnJobOverview"">Qualcomm is a company of inventors that unlocked 5G - ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5Gs potential into world-changing technologies and products. This is the Invention Age - and this is where you come in.

As part of Mixed Signal (MS) design group, Analog Modeling Engineer develops Analog Behavioral Models (ABM) and verifies MS designs both at IP core level and at System On Chip (SOC) level. ABM development shortens new Qualcomm products time-to-market and at the same time increase overall IP design quality.

Key Deliverables and Responsibilities
Modeling Specification Review
Determine requirements of behavioral model from IP design specifications.
Model Development and Quality Assurance
Generate ABMs and verify DACs, ADCs, PLLs, LDOs, CODECs and RX/TX.
Model Integration Review
Work with IC design and DV simulation engineers to debug top-level simulation
All Qualcomm employees are expected to actively support diversity on their teams, and in the Company.
Minimum Qualifications Bachelor's degree in Science, Engineering, or related field.
2+ years ASIC design, verification, or related work experience."" id=""hdnMinimumQualifications"">
Bachelor's degree in Science, Engineering, or related field.
2+ years ASIC design, verification, or related work experience.
Preferred Qualifications Strong interest in silicon development methodologies and verification flows
Ability to work with engineers across multiple disciplines
Excellent written and verbal communication skills
Strong programming skills (PERL,PYTHON)
2 years of experience with following
Mixed-signal simulators (Cadence-AMS)
Verilog and/or System Verilog
Digital logic simulators (such as Modelsim, NC-Verilog, VCS)
Real Number Modelling (RNM)
Model Development and Quality Assurance Generate ABMs and verify DACs, ADCs, PLLs, LDOs, CODECs, RX/TX and high speed Serdes.
"" id=""hdnPreferredQualifications"">
Strong interest in silicon development methodologies and verification flows
Ability to work with engineers across multiple disciplines
Excellent written and verbal communication skills
Strong programming skills (PERL,PYTHON)
2 years of experience with following
Mixed-signal simulators (Cadence-AMS)
Verilog and/or System Verilog
Digital logic simulators (such as Modelsim, NC-Verilog, VCS)
Real Number Modelling (RNM)
Model Development and Quality Assurance Generate ABMs and verify DACs, ADCs, PLLs, LDOs, CODECs, RX/TX and high speed Serdes.

Education Requirements Preferred: Master's, Computer Engineering and/or Electrical Engineering"" id=""hdnEducationalRequirements"">Required: Bachelor's degree in Science, Engineering, or related field
Preferred: Master's, Computer Engineering and/or Electrical Engineering",3.9,"Qualcomm
3.9","San Diego, CA","San Diego, CA",10000+ employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Intel Corporation, MediaTek, Broadcom"
Big Data Engineer,$61K-$104K (Glassdoor est.),"Preferred Qualifications
Bachelors degree in computer science or equivalent experience
2 years of experience with big data tools: Hadoop, Spark, Kafka, NiFi, Hive and/or Sqoop
2 years of experience with AWS cloud services: EC2, S3, EMR, RDS, Redshift, Athena and/or Glue
2 years of experience with stream-processing systems: Spark-Streaming, Kafka Streams and/or Flink
3 years of experience with object-oriented/object function scripting languages: Java (preferred), Python and/or Scala
2 years of experience with relational SQL and NoSQL databases like MySQL, Postgres, Cassandra and Elasticsearch
2 years of experience working in a Linux environment
Expertise in designing/developing platform components like caching, messaging, event processing, automation, transformation and tooling frameworks
Demonstrated ability to performance-tune MapReduce jobs
Strong analytical and research skills
Demonstrated ability to work independently as well as with a team
Ability to troubleshoot problems and quickly resolve issues
Strong communication skills
What'll Make You Special
Experience with managing real estate data
Experience leading a team of engineers on a large enterprise data platform build
Job Summary

The Big Data Engineer is responsible for the full life cycle of the back-end development of a data platform. This team member creates new data pipelines, database architectures and ETL processes, and they observe and suggest what the go-to methodology should be. They gather requirements, perform vendor and product evaluations, deliver solutions, conduct trainings and maintain documentation. They also handle the design and development, tuning, deployment and maintenance of information, advanced data analytics and physical data persistence technologies.

This team member establishes analytic environments required for structured, semi-structured and unstructured data. They implement the business requirements and business processes, build ETL configurations, create pipelines for the data lake and data warehouse, research new technologies and build proofs of concept around them. This person carries out monitoring, tuning and database performance analysis and performs the design and extension of data marts, meta data and data models. They also ensure all data platform architecture code is maintained in a version control system.

The Big Data Engineer is responsible for sharing knowledge with fellow team members, allowing the entire team to grow and become proficient to further build out and enhance the data platform.

Responsibilities
Focus on scalability, performance, service robustness and cost trade-offs
Design and implement high-volume data ingestion and streaming pipelines using Apache Kafka and Apache Spark
Create prototypes and proofs of concept for iterative development
Learn new technologies and apply the knowledge in production systems
Develop ETL processes to populate a data lake with large data sets from a variety of sources
Create MapReduce programs in Java and leverage tools like AWS Athena, AWS Glue and Hive to transform and query large data sets
Monitor and troubleshoot performance issues on the enterprise data pipelines and the data lake
Follow the design principles and best practices defined by the team for data platform techniques and architecture
Who We Are

Rocket Homes Real Estate LLC is a Detroit-based, tech-driven company with a passion for simplifying real estate. Our mission is to create a seamless home buying and selling experience by combining the process of searching for homes, connecting with a trusted real estate agent and getting a mortgage. Since 2006, weve partnered with our sister company, Rocket Mortgage® by Quicken Loans, and our nationwide network of top-rated real estate agents to help over 500,000 clients with their real estate needs.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.

The Company has policies to support applicants with disabilities, including, but not limited to, policies regarding the provision of accommodations that take into account an applicants accessibility needs due to disability. For more information, please call us at (800) 411-JOBS or email us at Job@MyRocketCareer.com.",4.6,"Rocket Homes
4.6","Detroit, MI","Detroit, MI",51 to 200 employees,2006,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
Data Scientist,$61K-$104K (Glassdoor est.),"Join us in making roads safer by making drivers better!

At CMT, a Data Scientist has the opportunity to work on an extremely wide variety of technical areas. We collect high-volume, high-velocity data generated from smartphone and IoT sensors in vehicles. We clean, normalize and fuse multiple data sources using time series signal processing techniques, handing noise, censoring, and non-uniform sampling. Next, we determine which behaviors might indicate risky driving, using robust statistical analyses and feature engineering. We produce an estimate of aggregate driving risk using GLMs and ML regressors. Finally, given the risk estimate, we determine how we can most effectively help drivers modify and improve their driving by performing experiments and mining data.

Our Data Scientists are expected to read, write and test high quality Python code that will run in a production environment. Familiarity with standard Python libraries (scipy/numpy/pandas) is essential.

Requirements
MS in Computer Science, Engineering, Mathematics or related technical discipline
5+ years of work experience, involving statistical modeling and significant software development.
Strong programming skills for implementing algorithms, constructing and manipulating data pipelines
Preferred Qualifications:
PhD plus several years of relevant experience
Experience with AWS or similar cloud computing environment
Expertise machine learning, data mining, and (robust) statistics
Experience in designing data pipelines and products for real world applications
Experience with modern/emerging scalable computing platforms and languages (e.g. Spark)
Benefits

Cambridge Mobile Telematics' (CMT) mission is to make the world’s roads and drivers safer. Since its first product launch in 2012 that pioneered mobile usage-based insurance, CMT has become the world’s leading telematics and analytics provider for insurers, rideshares, and fleets. CMT’s DriveWell platform uses mobile sensing and behavioral science to measure driving risk and incentivize safer driving, while its Claims Studio reduces the claims cycle time with real-time crash detection, crash reconstruction, and damage assessment using telematics and artificial intelligence. CMT has over 50 active programs with insurers and other partners, improving safety for millions of drivers every day around the world. Started based on research at MIT and backed by the SoftBank Vision Fund to fuel its rapid growth, CMT is headquartered in Cambridge MA. To learn more, visit www.cmtelematics.com and follow CMT on Twitter @cmtelematics.

Our Benefits Include:
Health Care Plan (Medical, Dental & Vision)
Retirement Plan (401k match)
Life Insurance (Basic & AD&D)
Unlimited Paid Time Off (Vacation, Sick & Public Holidays)
Parental Leave
Short Term & Long Term Disability
Work From Home
Flexible Scheduling Options
Stock Option Plan",4.9,"Cambridge Mobile Telematics
4.9","Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$61K-$104K (Glassdoor est.),"Think West Coast tech company meets small business in the City of Good Neighbors. We develop cutting edge software while maintaining a work environment that compares to the personal interaction youd get working for a small business. We encourage our team to use the latest technology, collaborate, and run with their ideas. We also encourage them to have fun, which makes coming to work enjoyable! At Utilant, we believe that investing into our employees promotes innovation and excellence in our field.

Teamwork: Work together to accelerate the success of both Utilant and its customers.
Development: Continuously seek to improve our process by empowering individual growth and creativity.
Innovation: Build powerful, intuitive software that people want to use.
We are currently looking to hire a Data Scientist to work out of our Buffalo, NY headquarters or to work remotely.

As a Data Scientist youll have the opportunity to work alongside Data Engineers and Software Engineers to solve business challenges by employing vast amounts of insurance underwriting data from 10s of millions of inspections and other data sources. A Data Scientist on our team will explore and understand structured and unstructured data sets, with an aim to design, train, and deploy machine learning models into a production software environment with a cloud-based infrastructure. The ideal candidate will have experience with and interest in collaborating with Software Engineers to deploy a reliable, customer-facing product. As our team is growing quickly, were keenly interested in candidates who understand how to design systems that scale and still know how to deliver results on a deadline when necessary.

Accountabilities:
• Participate in the complete development lifecycle of cloud-based Data Science products, from exploratory data analysis to deployment
• Identify new opportunities to improve customer experience using a largely untapped data warehouse of text, image, and columnar data
• Stay up to date on advancements in Natural Language Understanding and/or Computer Vision technologies, with a focus on tools that can have a real-world impact for our users
• Demonstrate model performance using visualizations and dashboards to define ongoing progress, compare model versions against key metrics, and provide a focus on our team objectives.
• Collaboratively give and receive feedback, including technical mentorship, by working with other Data Scientists via code review
• Work with other Data Scientists to develop reproducible models that predict and explain trends within a vast and heterogeneous data set
• Communicate with stakeholders outside of the Data Science team to answer specific business questions, understand customer pain-points, and identify opportunities for improvement
• Independently diagnose and remedy data hygiene issues to ensure reliable analysis and model development

Qualifications:
• 4+ years of professional experience
• Advanced degree (MS or PhD) in a technical field, e.g. Computer Science, Engineering, or Mathematics
• Proficiency in SQL and relational databases like Microsoft SQL Server or equivalent
• Experience training, deploying, monitoring, and maintaining reproducible machine learning models
• Advanced knowledge of unstructured data and machine learning technologies
• Proven experience with planning, execution, vision and success of complex technical projects
• Strong communication and technical skills

Competencies:
• Expertise in Python 3
• Thoroughly versed in statistics, linear algebra, and experimental design
• Strong knowledge of machine learning methods, including approaches that are neural, tree-based, etc.
• Experience with distributed version control systems (Git or equivalent) Experience with cloud-based platforms and services such as AWS, Azure, etc.
• Expertise in working with relational database management systems, including local or remote SQL DBs
• Working with larger than laptop-memory datasets with distributed computing technologies, e.g. Spark, Dask, Hadoop, Hive, etc.
• Aptitude for visualizing complex relationships though plots, diagrams, and dashboards
• Ability to prioritize use cases and remove/discern ambiguity
• Professional, accountable, and reliable with excellent organizational & time management skills

Expectations:
• Act in accordance with the Vision, Mission and Values set forth by Utilant, LLC.
• In this position you may be required to perform duties as assigned outside of normal working hours.
• Develop a thorough understanding of the company culture.
• Flexibility in assuming duties not outlined in the responsibilities as needed.
• Display ability to work self-directed and to take initiative to work quickly, and independently.

Work Environment and Physical Requirements:
While performing the duties of this job, the employee is regularly required to talk or hear. The employee is frequently required to walk, stand, sit, use hands for fine manipulation, handle or feel and reach with hands and arms using a keyboard and video display terminal. The employee is occasionally required to stoop, kneel or crouch. The employee must regularly lift and/or move up to 30 pounds. Specific vision abilities required by this job include close vision, distance vision, ability to adjust focus and peripheral vision. The intent of this job specification is to provide a representative summary of the types of duties and responsibilities that will be required of positions given this title and shall not be construed as a declaration of the specific duties and responsibilities of any particular position. Employees may be requested to perform job-related tasks other than those specifically presented in this specification.

EEO:
Utilant LLC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Utilant LLC complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Acknowledgement and Receipt of Job Description:
This description does not imply that these are the only duties to be performed by this employee. He or she will be required to follow any instructions and to perform other duties requested by a supervisor. Your signature below indicates that you have read and understand this job description and its contents. The above information has been communicated and/or completed on the date below.",3.7,"Utilant LLC
3.7","Buffalo, NY","Buffalo, NY",51 to 200 employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),-1
Product Data Scientist - Ads Data Science,$61K-$104K (Glassdoor est.),"Who We Are


The team is responsible for placing each and every ad that Twitter serves. While placing those ads we decide how best to balance user experience, advertiser results, and Twitter revenue. Our team optimizes supply/demand, operation points and trade-offs for the ads marketplace, as well as improve product outcomes by applying data science. We routinely deliver significant improvements to our revenue, and work in a close sync with our executive staff (including our COO & CFO) due to our direct impact on Twitter’s business.

What You’ll Do


We’re looking for a key individual contributor to drive our advertising products forward. We decide which ads to serve billions of times a day under a sub-second setting. You will ship new features and optimize existing products. You will perform rigorous analysis, understand our advertising products, experiment, make data-driven decisions, optimize for impact, and measure performance funnels.

Your team will empower you with the autonomy to make good product decisions and discover/understand the software and product stack. You’ll own significant projects end-to-end. The small teams of talented, passionate people in which you’ll work will include engineers and data scientists from across the revenue engineering organization. We work on every high-priority ads project at Twitter.

Who You Are


You’re a data scientist with a track record of delivering results. You find satisfaction in shipping changes that deliver measurable impact in the form of immediate revenue. You apply machine learning and data science techniques when applicable, but are just as happy to implement a simple heuristic when you find it’s as effective at driving impact to your product. You’re looking to join a strong, high-performing team.

Sample Projects
We build new ways for advertisers to buy ads on Twitter, such as paying up front for guaranteed results
We design incrementality studies to measure the lift in brand awareness that our advertising campaigns drive
We dive into individual products (e.g. video ads) to improve results for our most critical business priorities
We evaluate the impact of ads on new Twitter users, determining how to show them ads in order to maximize their long-term usage of the product
We are responsible for measuring the results of all experiments on Twitter ads
Requirements
Experience using data intelligently to optimize product performance
Experience performing analysis on raw event data in modern data warehouse systems
Deep understanding of data platforms in which you’ve previously worked
Good understanding of how to grow and shape data tools and datasets to improve data-driven decision making
Ability to thrive in an unstructured environment, working autonomously on a strong team to find opportunity and deliver business impact
Good understanding of (one or more of the following): Python or R
Bonus Points
Past experience in adtech
PhD or MS in computer science, machine learning, or statistics
Good understanding of (one or more of the following): Java, Scala, or C++
Interesting side projects or Kaggle competition results
We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.0,"Twitter
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest"
Data Scientist,$61K-$104K (Glassdoor est.),"Why We Work at Dun & Bradstreet


We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements.

You will also:
Serve as a Subject Matter Expert on internal D&B data, and estimation of business size.
Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting
Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products
Basic Qualifications:
Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics).
2+ years of experience in data science roles.
Strong knowledge of programming and modeling using Python, R, or SAS.
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Experience communicating complex ideas to both a technical and non-technical audience.
Experience applying modern machine learning techniques.
Preferred Qualities
Creative and inquisitive in nature, flexibility to learn and apply new methodologies.
Strong writing skills.
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.1,"Dun & Bradstreet
3.1","Austin, TX","Short Hills, NJ",1001 to 5000 employees,1841,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD),"Experian, Equifax"
Data Scientist,$61K-$104K (Glassdoor est.),"Chicago, IL
Posted 2 weeks ago

The Process Monitoring, Automation and Control (PMAC) team is responsible for driving the development and implementation of advanced analytics and control solutions that deliver value for today and build capability for tomorrow.
As a member of PMAC, this role will have the opportunity to work closely with the IT organization to
develop and implement Advanced Analytics, AI, APC and IIoT solutions/capabilities in manufacturing
settings to achieve actionable insights and enable continued improvement for pharmaceutical
manufacturing and quality operations.
Responsibilities
• You will contribute to the development of the multiple use cases across manufacturing operations,
leveraging IIOT and analytics, in areas such as energy management, predictive maintenance, production
scheduling and process optimization.
• Development and implementation of analytic models and tools using advanced analytics, machine
learning and artificial intelligence;
• Work with the IIoT developers to integrate predictive/prescriptive analytics with the IIoT platform to
achieve visibility, predictability and learning across multiple automation layers from process to plant and
to enterprise
• Understand Advanced Analytics approaches in other businesses;
Qualifications
• Bachelor’s Degree or higher in Mathematics, Statistics, Physics, Engineering and/or Computer Science
• Hands-on experience in data science, advanced analytics, multivariate data analysis, machine learning,
artificial intelligence, and familiarity with related open source libraries (e.g. Tensor Flow, AWS ML)
• Proficient in one or more of the following programming environments: Python (preferred), R, Matlab,
PMML, JAVA, Spark
• Familiarity with deep Learning, Neural Networks, Natural Language Processing or related fields
• Experience with cloud-based analytics platforms
• Experience with ThingWorx IIoT platform preferred
• Familiarity with industrial process control system, operations management system and/or SAP is a plus
• Pharmaceutical experience preferred but not necessary
• Independent, self-motivated personality with excellent oral and written communication skills
• Ability to work collaboratively in diverse cross-functional teams on innovative solutions and tools with
an open attitude towards fast learning

To apply for this job email your details to suda@sutoer.com",4.7,"Sutoer
4.7","Chicago, IL","Hinsdale, IL",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
Data Scientist,$61K-$104K (Glassdoor est.),"We are the most sought after hedge fund in New York City, and we are hiring a Senior Data Scientist to join a new role of ours. If you are excited about new challenges and becoming a leader in our new space, then this is the place for you.

What Is The job?

This is a new role as a Senior Data Scientist in one of our fund's most important divisions. You will be using your Machine Learning and Quantitative experience to apply data science analysis to our private equity portfolio for the first time. Your analysis will help us both expand out our portfolio to help in acquisitions, as well as to help implement advanced analytics for use with our investments to aid in their profitability.

You will be helping to build out a new team in this effort. Since this is a new role, there is no team in place currently, so you will help to build it going forward.

This role will involve ""customer"" interaction since you will be working closely with our portfolio companies to gather data, implement data science solutions, and guide them to maximize profitability. You should be comfortable and excited about working with these external stakeholders.

Who Are We?

We are one of the largest and most well-known hedge funds in the world with over $50 Billion in assets. We use cutting-edge technology towards trading and investment strategies. We recognize the role that data plays in the world of finance, and explore every possible avenue of harnessing it to its fullest potential.

What Skills Do You Need?

• You should have advanced experience with building Machine Learning models.

• Master's or Ph.D. in a quantitative or computational field.

• It's a ""plus"" if you have management experience or experience building a data science team.

Compensation

• $275,000 - $325,000 total compensation

• Medical, Dental, and Vision Coverage

• In-office gym, great culture, and amazing learning environment

What's In It For You?

This is a phenomenal opportunity for an experienced Data Scientist to join a great organization and make an impact immediately. If you are someone who thrives wearing multiple hats and never turns down a challenge, we would love to hear from you!",5.0,"Averity
5.0","New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Data Scientist,$61K-$104K (Glassdoor est.),"Work Authorization Those authorized to work in the United states are encouraged to apply.We are able to sponsor H1-B at this time. Job SummaryThis position will provide professional-level business process support and analysis for major initiatives that support the Data Analytics Work stream of the Information Technology Advisory Committee. This position will contribute to the design and implementation of a branch wide data governance model and will review the current data and analytic portfolio and branch workload models to identify new opportunities and make suggestions for adjustments. This position will help inventory agency datasets and match those datasets against agency data needs. The position will perform gap analyses to determine where additional governance may be needed. Minimum Job-Specific SkillsQualifications Required (in order of relative importance) Ability to convert business requirements into a technical design and implementation plan. Ability to analyze issues from system documentation and recommend solutions. Experience managing technical projects, including conflict resolution, issue escalations, status reporting and resource management. Understanding of courtroom operations and workflow. Experience in R and Stata. High level of technical writing experience. Excellent oral, written, analytical and communication skills with the ability to lead a technical discussion to both technical and non-technical staff. Excellent presentation skills for both technical and non-technical audiences, including creating and presenting executive summaries to management and technical committees. Excellent analytical, verbal and conflict resolution skills. Experience with data visualization and software such as Tableau and Power BI. Additional SkillsQualifications Desired General Prepare effective written materials for purposes of user and system documentation. Use initiative and independent judgment within established procedural guidelines. Resolve complex technical issues. Explain technical issues to senior management in a nontechnical manner. Technical Exposure and experience with Cloud computing. Conceptual understanding of Amazon Web Services, Microsoft Azure, Google Cloud, IBM and Oracle Cloud Platforms. Experience using SQL, Python, or other database query languages.",-1,PETADATA,"San Francisco, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Research Scientist,$61K-$104K (Glassdoor est.),"Working at the intersection of hardware, software, and molecular science, we are committed to delivering on the promise of 3D printing, enabling commercial customers to go beyond basic prototyping to 3D manufacturing.
Our company is built on the idea that when diverse fields of study come together, we are able to solve challenging problems. We have grand dreams to build technology that will influence industries around the world. You will be joining a diverse team with a dynamic culture, where team success is as important as celebrating individual contributions.
Help us change the world, and we will help you change yours.
We are looking for an research scientist to develop novel materials for our 3D printing platform. Materials are at the core of what we do. Our materials are used for applications such as prototyping, dental, biomedical, automotive, aerospace, footwear, investment casting, and many more. You will work as part of a cohesive and high-energy team, but also direct individual projects and have the freedom to execute as you see fit.
Responsibilities:
Draw on academic and patent literature to identify and evaluate new chemistries and formulation strategies to drive continued materials development
Synthesize new monomer and oligomers and evaluate performance both at the component and full formulation levels
Formulate, print and characterize new formulations
Analyze and communicate materials characterization data in a clear, organized manner and make recommendations that allow for informed decision-making
Collaborate with internal teams and customers to define key product requirements, interpret test results, and determine follow-up experiments, to support resin products through commercialization

Requirements:

Bachelors or Masters degree in Chemistry, Chemical Engineering, Polymer Sciences, or Materials Sciences and Engineering
Organized with good time-management skills
Ability to multitask
Experience analyzing and reporting on large data sets
Knowledge in polymer chemistry
Experience/understanding of material properties (mechanical and thermo-mechanical)
Technical writing skills
Eagerness to learn in a fast-paced environment

Preferred Requirements/Experience:

2+ years working in a laboratory setting or in an industrial role
Basic understanding of various polymeric materials (thermoplastics, thermosets, specialty polymers)
Basic understanding of various polymerization reactions and techniques
Any understanding or experiences with large scale production/manufacturing is a bonus
Safety conscious individual who actively promotes safe behavior in the department and takes responsibility for safe lab operations
You do not need to match every listed expectation to apply for this position. Here at Carbon, we know that diverse perspectives foster the innovation we need to be successful, and we are committed to building a team that encompasses a variety of backgrounds, experiences, and skills.",4.3,"Carbon3D
4.3","Redwood City, CA","Redwood City, CA",201 to 500 employees,2013,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
